Gene,nASD,rASD,min_lFDR,TADA p-value,Netscore,Annotation
DYRK1A,yes,yes,1.52E-07,5.00E-07,54.56270451,2
GRIN2B,yes,yes,1.52E-07,5.00E-07,34.07467851,2
CUL3,yes,yes,1.91E-07,1.00E-06,115.675064,2
TBR1,yes,yes,2.34E-07,1.00E-06,80.28652462,2
SCN2A,yes,yes,2.61E-07,1.00E-06,67.19899401,2
PPM1D,yes,yes,4.47E-06,6.80E-05,121.0805731,1
RNF38,yes,yes,1.54E-05,0.000194,87.35889849,1
LMCD1,yes,yes,1.84E-05,1.60E-05,4.158745634,0
C1orf95,yes,yes,2.39E-05,6.60E-05,28.4378021,0
BANK1,yes,yes,3.96E-05,0.000118,67.51759376,0
POGZ,yes,yes,5.71E-05,9.30E-05,29.03653116,2
PRIM2,yes,yes,0.000131357,0.000609,108.4099675,0
RAB2A,yes,yes,0.000139438,0.000355,43.09429615,1
COL25A1,yes,yes,0.000174118,0.000163,33.01377775,1
MED13L,yes,yes,0.000194805,0.000405,27.48482348,1
NFIA,yes,yes,0.000224171,0.000439,105.8113381,1
FCAR,yes,yes,0.000317233,0.00137,30.98100063,0
UBR3,yes,yes,0.000387507,7.00E-04,80.25168838,1
PRPF39,yes,yes,0.000551576,0.000235,21.64671558,1
PHF2,yes,yes,0.000594141,0.00163,29.91816333,1
TROVE2,yes,yes,0.000628402,0.00166,175.3359337,1
PTEN,yes,yes,0.000710441,0.00248,133.9547566,0
SMAP1,yes,yes,0.000792353,0.00139,86.10262808,0
SMC3,yes,yes,0.000846747,0.00134,52.2963138,0
DDX3X,yes,yes,0.000887002,0.00039,3.359796159,1
ZMYM2,yes,yes,0.00098289,0.00067,77.48878183,1
ADNP,yes,yes,0.001036404,0.000606,4.125751178,1
ZNF33A,yes,yes,0.001043219,0.00135,49.96037435,0
ZNF175,yes,yes,0.001412036,0.00147,13.7387637,0
CDC42BPB,yes,yes,0.001555201,0.00321,69.57158681,1
SERINC5,yes,yes,0.001655126,0.00112,50.34804827,0
LMTK3,yes,yes,0.001662975,0.0027,23.11818997,1
TNC,yes,yes,0.001840557,0.001478052,35.88611488,0
DIP2C,yes,yes,0.002031949,0.00483,46.01285038,1
ELOVL1,yes,yes,0.002183895,0.00235,20.65379382,0
CBX4,yes,yes,0.002471374,0.00144,17.89450616,1
SETBP1,yes,yes,0.002481287,0.00148,12.20035648,1
NCKAP1,yes,yes,0.002547026,0.00338,132.02683,1
SPAST,yes,yes,0.002728343,0.00279,144.740333,1
ATP1B1,yes,yes,0.002767356,0.000743,84.74727156,1
SLC22A15,yes,yes,0.003212229,0.00278,13.03294145,0
TCF3,yes,yes,0.003552511,0.00159,26.17239708,1
TBL1XR1,yes,yes,0.003619067,0.00436,32.2232457,0
MBD5,yes,yes,0.003818619,0.00188,5.133461541,1
VCP,yes,yes,0.004076786,0.00193,14.60972977,1
CSTF2T,yes,yes,0.004258174,0.0031,72.44721701,1
FBXL5,yes,yes,0.004382309,0.011,73.66190425,0
ITGB3BP,yes,yes,0.004397575,0.00342,18.29498946,0
CD34,yes,yes,0.00468371,0.00228,9.594173086,0
ARSK,yes,yes,0.004971244,0.00458,175.2465396,0
PCIF1,yes,yes,0.004979917,0.0061,33.02333928,0
PCOLCE,yes,yes,0.005141773,0.00158,32.46024215,1
GDPD4,yes,yes,0.005184004,0.01033,60.37222801,0
EIF3G,yes,yes,0.005309694,0.00455,95.83325221,0
BCL11A,yes,yes,0.005355834,0.00227,103.9113774,1
CLDN11,yes,yes,0.005502466,0.00166,42.61212787,0
BEND7,yes,yes,0.005553444,0.00376,38.68228723,0
REXO1,yes,yes,0.00592822,0.00904,28.97290035,0
RAD51AP1,yes,yes,0.006217511,0.00191,30.81067818,0
SCP2,yes,yes,0.006284075,0.00393,44.0205561,1
ARID1B,yes,yes,0.006643912,0.00407,14.52821937,1
DYNC1I2,yes,yes,0.007000796,0.00417,81.81536953,0
MCM5,yes,yes,0.00718407,0.00563,63.67563898,0
FOXP1,yes,yes,0.007358441,0.00429,84.9759419,1
DCAF11,yes,yes,0.007639249,0.00361,15.45713394,0
MAPK4,yes,yes,0.008129945,0.0048,80.94679268,0
NCOR1,yes,yes,0.008476303,0.0165,56.4261321,0
METTL14,yes,yes,0.008528795,0.00609,130.7981028,0
TSR1,yes,yes,0.008890931,0.003946364,7.525513457,0
ITGA5,yes,yes,0.008909472,0.00401,14.99096791,1
DHX29,yes,yes,0.009712709,0.00411,45.248453,0
ATRN,yes,yes,0.010011435,0.00601,25.3556836,0
RAD21,yes,yes,0.010110985,0.0115,42.27797126,0
SHANK2,yes,yes,0.01051733,0.0141,53.06380838,1
AGK,yes,yes,0.010703465,0.00495,36.25995972,0
STXBP1,yes,yes,0.010881359,0.00458,27.06184397,0
SPAG17,yes,yes,0.011012295,0.009026052,52.23612966,0
HIST1H4B,yes,yes,0.01135976,0.00785,29.13838224,0
NIF3L1,yes,yes,0.01148866,0.0134,52.06995046,0
NDUFB5,yes,yes,0.012005511,0.00663,40.5569592,0
RNF168,yes,yes,0.012527245,0.00681,2.467132365,0
L1CAM,yes,yes,0.01282444,0.0062,22.00590503,1
GMNN,yes,yes,0.013034185,0.00672,50.70041039,0
PDLIM1,yes,yes,0.013040266,0.00495,11.07992273,0
MUDENG,yes,yes,0.013659867,0.00782,41.23781235,0
SMARCC2,yes,yes,0.014150247,0.00667,9.1718542,1
OR52M1,yes,yes,0.014743916,0.00413,24.8453222,0
MRPL44,yes,yes,0.014860182,0.00794,50.56167056,0
MRPS26,yes,yes,0.014866825,0.00724,24.93845197,0
SCD,yes,yes,0.015510793,0.0086,81.73806917,0
NR2F1,yes,yes,0.016287252,0.00957,32.03125747,0
CRY1,yes,yes,0.01711327,0.0289,103.0217993,0
CNOT1,yes,yes,0.017347752,0.02,77.9498204,0
ZFAND2A,yes,yes,0.017968784,0.01055,28.29580044,0
UNC80,yes,yes,0.018506788,0.00698,54.61789517,1
MAPT,yes,yes,0.018805827,0.0314,78.23927318,0
C2CD3,yes,yes,0.019962916,0.013172614,33.23588164,0
F3,yes,yes,0.021132764,0.0173,58.07241588,0
RBBP9,yes,yes,0.021153368,0.0137,32.07662075,0
MARCO,yes,yes,0.021777818,0.00381,22.49209684,0
CSN3,yes,yes,0.022317713,0.0138,29.34989624,0
OR2AK2,yes,yes,0.02244495,0.0129,38.73086702,0
BBS10,yes,yes,0.022991481,0.0155,96.99893982,0
SMG7,yes,yes,0.023497406,0.0142,19.97407488,0
CHMP2B,yes,yes,0.023719182,0.0608,83.80947197,0
KIAA1468,yes,yes,0.024691873,0.0146,26.83830274,0
PCNX,yes,yes,0.025128812,0.014225945,2.190998652,0
CASD1,yes,yes,0.02584842,0.0146,68.95640958,0
ATCAY,yes,yes,0.026539739,0.06,42.34362154,0
ACTR6,yes,yes,0.027016898,0.0299,41.69853463,0
ANKS1B,yes,yes,0.02795754,0.01064,13.33542508,0
SPRY1,yes,yes,0.027996068,0.0241,37.11028515,0
CDC42EP4,yes,yes,0.028165281,0.0151,45.82426529,0
ACTL6A,yes,yes,0.02926916,0.029,131.8212121,0
ASPM,yes,yes,0.029330054,0.015207111,57.02931279,0
PAMR1,yes,yes,0.029467563,0.0119,23.67091589,0
PRPF19,yes,yes,0.029518447,0.0161,47.63938517,0
SMPD3,yes,yes,0.030532792,0.0161,15.7042119,0
GINS2,yes,yes,0.031025868,0.0239,47.29895275,0
HCFC2,yes,yes,0.031722946,0.0325,44.22574408,0
MARK4,yes,yes,0.032450232,0.0565,60.79878379,0
VASH1,yes,yes,0.032606598,0.0129,13.74910985,0
ZNF410,yes,yes,0.033897842,0.0178,32.59715742,0
C1orf43,yes,yes,0.034158173,0.0128,32.12838224,0
MICALL1,yes,yes,0.03533271,0.0689,72.58678434,0
RSU1,yes,yes,0.035400551,0.0177,59.19154852,0
DUSP14,yes,yes,0.03570063,0.0133,11.60447504,0
PSMG2,yes,yes,0.036735291,0.0169,16.76623572,0
BAHCC1,yes,yes,0.037916076,0.0247,103.7236762,0
NAV2,yes,yes,0.038126214,0.028005924,68.61330977,0
PDPR,yes,yes,0.039333779,0.028,48.67842103,0
ASB8,yes,yes,0.039372269,0.0204,22.09024697,0
PARN,yes,yes,0.039514552,0.0374,61.7390044,0
TNPO3,yes,yes,0.040078191,0.0275,27.84818992,0
ZNRF1,yes,yes,0.040829019,0.0608,30.73328136,0
SCYL2,yes,yes,0.04087276,0.0319,85.94548761,0
RBP4,yes,yes,0.042218888,0.028,31.88338744,0
PLEKHA6,yes,yes,0.042457184,0.0549,100.8621336,0
PNPLA3,yes,yes,0.042795311,0.0363,83.76107555,0
PLEKHG6,yes,yes,0.042860453,0.0137,6.708383692,0
FBXO27,yes,yes,0.044123949,0.0237,132.636148,0
HIST1H3D,yes,yes,0.044519099,0.0296,50.1675855,0
C1orf9,yes,yes,0.045766045,0.0355,90.85044187,0
LYSMD3,yes,yes,0.046262642,0.0279,142.5078778,0
PPAP2B,yes,yes,0.046308647,0.028,31.54634484,0
DNAH11,yes,yes,0.047376027,0.0343,60.88887311,0
CCDC132,yes,yes,0.047735287,0.0914,88.94746868,0
C17orf28,yes,yes,0.048399414,0.0217,39.58622921,0
TMTC4,yes,yes,0.048973267,0.0677,94.19625095,0
ZSCAN21,yes,yes,0.049240153,0.0209,31.05626261,0
ALPK1,yes,no,0.050798191,0.0343,20.92637991,0
LMTK2,yes,no,0.052147016,0.0724,61.11917818,0
MIER3,yes,no,0.052332917,0.1008,165.8217205,0
PAPOLG,yes,no,0.053907369,0.0412,175.3144651,0
JTB,yes,no,0.054206932,0.0165,4.399164673,0
RAB33B,yes,no,0.055307349,0.0336,69.39829894,0
SLC25A46,yes,no,0.055527917,0.108,167.7389312,0
ZFP91,yes,no,0.055790275,0.0404,115.5143076,0
KIAA0284,yes,no,0.056931379,0.0427,112.0616565,0
SIDT1,yes,no,0.057120205,0.0237,33.41723934,0
CD40,yes,no,0.058472947,0.0264,17.54284091,0
ALG3,yes,no,0.058700978,0.0596,20.42646455,0
PRKCSH,yes,no,0.05895385,0.0602,16.095026,0
TTC9C,yes,no,0.060072692,0.0267,29.90601478,0
VASH2,yes,no,0.060274593,0.0243,19.44707012,0
NEO1,yes,no,0.060558937,0.0249,90.74410658,0
PDZD2,yes,no,0.061654557,0.078565089,29.6703246,0
B3GALT2,yes,no,0.061913577,0.0286,57.83303801,0
DTD1,yes,no,0.062277889,0.0202,2.049635638,0
DHX57,yes,no,0.062310218,0.035,143.6902104,0
RNF217,yes,no,0.063253665,0.0278,46.25394647,0
DEK,yes,no,0.06352289,0.0255,30.69863266,0
ZCCHC14,yes,no,0.065102573,0.103,78.2595057,0
ZNF627,yes,no,0.065926493,0.0353,144.1676973,0
EGFLAM,yes,no,0.066657503,0.0257,35.9871511,0
ABLIM1,yes,no,0.067467708,0.0115,52.16744497,0
DPP3,yes,no,0.068235338,0.0305,98.0278749,0
MAP1A,yes,no,0.069487529,0.082274453,55.91039135,0
C1orf101,yes,no,0.071633467,0.0435,61.53105061,0
BICD2,yes,no,0.072904722,0.11,53.66041604,0
ITGBL1,yes,no,0.073529889,0.0186,18.26029998,0
SCAND3,yes,no,0.075204814,0.0247,36.34014255,0
RBBP8,yes,no,0.07541441,0.0539,63.46252638,0
CCT2,yes,no,0.075446794,0.0291,74.57745959,0
RIMS1,yes,no,0.076920471,0.0298,106.8398382,1
NIN,yes,no,0.078977154,0.0282,11.24343685,0
GARNL3,yes,no,0.079086469,0.0256,59.41965892,0
ERGIC3,yes,no,0.079818931,0.0634,45.80039485,0
LHFPL4,yes,no,0.080463734,0.114,56.31614366,0
PAK2,yes,no,0.08139675,0.0319,17.23227046,0
OTUD6B,yes,no,0.081954699,0.131,145.1470708,0
NDUFA1,yes,no,0.082781956,0.0199,4.970221488,0
YTHDF2,yes,no,0.083462219,0.0295,110.8287627,0
PGM1,yes,no,0.084954808,0.0297,5.343960046,0
DLGAP2,yes,no,0.085978226,0.0326,78.61867503,0
USP5,yes,no,0.086421611,0.0344,60.88486225,0
TTYH3,yes,no,0.086569149,0.0498,30.61430064,0
AASS,yes,no,0.086757686,0.0359,30.52635551,0
LUC7L2,yes,no,0.087489289,0.0326,51.62328955,0
RNF26,yes,no,0.08796783,0.0771,15.04527716,0
EVL,yes,no,0.088979175,0.0327,41.53830998,0
EHD2,yes,no,0.089538464,0.032,38.55154865,0
IMPAD1,yes,no,0.091091152,0.058,122.0311614,0
FAM107A,yes,no,0.092637364,0.0475,27.4208398,0
RNF219,yes,no,0.093344384,0.0657,34.88794574,0
CBL,yes,no,0.094155821,0.0688,40.74455419,0
MAPRE3,yes,no,0.094325313,0.0286,10.73783274,0
HDAC7,yes,no,0.094776161,0.0334,61.37272129,0
STT3A,yes,no,0.095671872,0.0329,48.82883471,0
SLC25A22,yes,no,0.096160271,0.0286,8.161155134,0
RPS6KA6,yes,no,0.096216845,0.0339,46.86054414,0
DOT1L,yes,no,0.097747538,0.0356,41.40490618,0
KCNQ2,yes,no,0.097874416,0.089,46.73262904,0
XBP1,yes,no,0.098693752,0.0335,15.65500947,0
MYEF2,yes,no,0.099324355,0.0367,44.8716914,0
DNAJA2,yes,no,0.100187172,0.0609,101.1369365,0
TANK,yes,no,0.100878277,0.0372,157.2260602,0
MIS12,yes,no,0.101658808,0.0579,31.87143409,0
CREG1,yes,no,0.102472191,0.0473,128.4492345,0
YIPF5,yes,no,0.103139,0.062,153.4767947,0
GORASP2,yes,no,0.103442137,0.0383,59.82006845,0
AP3M1,yes,no,0.104094746,0.1088,135.1723192,0
DUSP4,yes,no,0.105262001,0.0306,12.88642039,0
EIF2S1,yes,no,0.105720635,0.0485,107.7350551,0
BEGAIN,yes,no,0.107320369,0.0888,40.31804283,0
CRNKL1,yes,no,0.107502587,0.0543,149.9714443,0
CCDC50,yes,no,0.108895523,0.0491,100.5356824,0
KITLG,yes,no,0.108925268,0.0617,24.93441079,0
PREP,yes,no,0.109073478,0.0812,40.41357543,0
CRTC1,yes,no,0.109467136,0.026,33.65882421,0
ACCN5,yes,no,0.110452122,0.107,67.39132856,0
SLCO6A1,yes,no,0.112020201,0.04,66.4713385,0
BAG4,yes,no,0.112156722,0.0687,88.2527589,0
SAP130,yes,no,0.112592916,0.0325,17.36501032,0
KDM2A,yes,no,0.115202619,0.152,60.12637334,0
SYCP1,yes,no,0.116178091,0.0393,56.74979121,0
LRIG3,yes,no,0.116761876,0.0397,27.92727397,0
MPP5,yes,no,0.117060003,0.0266,13.38831034,0
C14orf45,yes,no,0.117166518,0.0442,85.80749171,0
IL18R1,yes,no,0.118885312,0.0643,56.4455366,0
NT5DC1,yes,no,0.118898585,0.0333,137.0002116,0
HMGCS1,yes,no,0.11966743,0.0648,45.76885042,0
DTX1,yes,no,0.120027669,0.145,57.15277246,0
C6orf162,yes,no,0.120621448,0.0567,93.07079676,0
CNIH2,yes,no,0.122372714,0.111,98.16206169,0
SERPINB6,yes,no,0.122513912,0.027,26.44561046,0
MAPK8IP3,yes,no,0.123457247,0.151,57.4976711,0
HSPA13,yes,no,0.124101026,0.0578,175.5296261,0
FUBP1,yes,no,0.124286963,0.057,84.49926068,0
RG9MTD1,yes,no,0.125252057,0.0839,101.9146327,0
OR8B12,yes,no,0.125832952,0.127,28.85027522,0
ABI1,yes,no,0.12758201,0.0596,118.2024281,0
FAM125B,yes,no,0.127767657,0.0273,22.86827747,0
PCCB,yes,no,0.128032221,0.0682,57.100269,0
ACPL2,yes,no,0.12880049,0.0473,47.68015666,0
MRPL42,yes,no,0.129344313,0.136,74.85993589,0
UBR4,yes,no,0.131083617,0.04853939,28.57998641,0
DYNC1LI1,yes,no,0.132323095,0.0863,108.4379045,0
C12orf5,yes,no,0.132844522,0.0583,61.89045543,0
HIST1H2AK,yes,no,0.134454345,0.0659,45.18988603,0
CRABP1,yes,no,0.134492944,0.0299,22.52542323,0
