"A","B","P"
3,1,1
8,1,1
10,1,1
12,1,1
14,1,1
16,1,1
20,1,1
23,1,1
24,1,1
26,1,1
27,1,1
28,1,1
30,1,1
31,1,1
32,1,1
36,1,1
40,1,1
41,1,1
50,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
61,1,1
72,1,1
74,1,1
76,1,1
78,1,1
11,2,1
15,2,1
19,2,1
21,2,1
31,2,1
36,2,1
44,2,1
62,2,1
67,2,1
4,3,1
6,3,1
11,3,1
15,3,1
18,3,1
19,3,1
22,3,1
31,3,1
32,3,1
33,3,1
37,3,1
39,3,1
49,3,1
53,3,1
62,3,1
6,4,1
7,4,1
8,4,1
9,4,1
11,4,1
12,4,1
14,4,1
15,4,1
17,4,1
18,4,1
19,4,1
22,4,1
29,4,1
31,4,1
33,4,1
37,4,1
39,4,1
42,4,1
44,4,1
48,4,1
49,4,1
51,4,1
52,4,1
53,4,1
54,4,1
60,4,1
62,4,1
64,4,1
66,4,1
71,4,1
75,5,1
7,6,1
8,6,1
9,6,1
10,6,1
11,6,1
12,6,1
15,6,1
17,6,1
18,6,1
22,6,1
24,6,1
26,6,1
29,6,1
31,6,1
33,6,1
34,6,1
37,6,1
39,6,1
42,6,1
44,6,1
49,6,1
50,6,1
51,6,1
52,6,1
53,6,1
54,6,1
60,6,1
62,6,1
63,6,1
64,6,1
66,6,1
70,6,1
71,6,1
72,6,1
73,6,1
8,7,1
9,7,1
10,7,1
11,7,1
12,7,1
15,7,1
16,7,1
18,7,1
20,7,1
22,7,1
23,7,1
24,7,1
26,7,1
29,7,1
30,7,1
33,7,1
34,7,1
37,7,1
39,7,1
40,7,1
41,7,1
42,7,1
44,7,1
49,7,1
50,7,1
51,7,1
52,7,1
54,7,1
55,7,1
56,7,1
57,7,1
59,7,1
60,7,1
61,7,1
62,7,1
63,7,1
64,7,1
66,7,1
70,7,1
71,7,1
72,7,1
73,7,1
9,8,1
10,8,1
12,8,1
16,8,1
20,8,1
22,8,1
23,8,1
24,8,1
26,8,1
29,8,1
30,8,1
34,8,1
39,8,1
40,8,1
41,8,1
42,8,1
49,8,1
50,8,1
51,8,1
52,8,1
55,8,1
56,8,1
57,8,1
59,8,1
60,8,1
61,8,1
64,8,1
66,8,1
71,8,1
72,8,1
73,8,1
76,8,1
10,9,1
11,9,1
12,9,1
15,9,1
16,9,1
20,9,1
22,9,1
23,9,1
24,9,1
26,9,1
29,9,1
30,9,1
33,9,1
34,9,1
39,9,1
40,9,1
41,9,1
42,9,1
44,9,1
49,9,1
50,9,1
51,9,1
52,9,1
54,9,1
55,9,1
56,9,1
57,9,1
59,9,1
60,9,1
61,9,1
62,9,1
63,9,1
64,9,1
66,9,1
70,9,1
71,9,1
72,9,1
73,9,1
76,9,1
12,10,1
16,10,1
20,10,1
22,10,1
23,10,1
24,10,1
26,10,1
27,10,1
29,10,1
30,10,1
36,10,1
39,10,1
40,10,1
41,10,1
42,10,1
49,10,1
50,10,1
51,10,1
52,10,1
54,10,1
55,10,1
56,10,1
57,10,1
58,10,1
59,10,1
60,10,1
64,10,1
65,10,1
66,10,1
70,10,1
71,10,1
72,10,1
73,10,1
74,10,1
76,10,1
78,10,1
14,11,1
15,11,1
17,11,1
18,11,1
19,11,1
21,11,1
22,11,1
31,11,1
32,11,1
33,11,1
37,11,1
39,11,1
42,11,1
44,11,1
47,11,1
49,11,1
51,11,1
52,11,1
53,11,1
54,11,1
60,11,1
62,11,1
64,11,1
66,11,1
67,11,1
71,11,1
16,12,1
22,12,1
23,12,1
24,12,1
26,12,1
27,12,1
29,12,1
30,12,1
34,12,1
40,12,1
41,12,1
42,12,1
45,12,1
49,12,1
50,12,1
51,12,1
52,12,1
54,12,1
55,12,1
56,12,1
57,12,1
58,12,1
59,12,1
60,12,1
61,12,1
63,12,1
64,12,1
66,12,1
68,12,1
70,12,1
71,12,1
72,12,1
73,12,1
74,12,1
76,12,1
78,12,1
24,13,1
28,13,1
30,13,1
34,13,1
41,13,1
56,13,1
15,14,1
17,14,1
18,14,1
31,14,1
33,14,1
37,14,1
44,14,1
45,14,1
48,14,1
58,14,1
62,14,1
66,14,1
77,14,1
78,14,1
17,15,1
18,15,1
19,15,1
21,15,1
22,15,1
29,15,1
31,15,1
32,15,1
33,15,1
37,15,1
39,15,1
42,15,1
44,15,1
49,15,1
51,15,1
52,15,1
53,15,1
54,15,1
60,15,1
62,15,1
64,15,1
66,15,1
67,15,1
71,15,1
78,15,1
20,16,1
22,16,1
23,16,1
24,16,1
26,16,1
27,16,1
