"A","B","P"
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
20,1,1
21,1,1
22,1,1
23,1,1
25,1,1
26,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
41,1,1
43,1,1
45,1,1
47,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
58,1,1
59,1,1
65,1,1
68,1,1
69,1,1
70,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
4,2,1
6,2,1
12,2,1
17,2,1
18,2,1
24,2,1
27,2,1
39,2,1
44,2,1
49,2,1
52,2,1
60,2,1
64,2,1
67,2,1
68,2,1
70,2,1
71,2,1
75,2,1
4,3,1
5,3,1
7,3,1
8,3,1
9,3,1
10,3,1
11,3,1
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
20,3,1
21,3,1
22,3,1
23,3,1
25,3,1
26,3,1
28,3,1
29,3,1
30,3,1
31,3,1
32,3,1
34,3,1
35,3,1
36,3,1
37,3,1
38,3,1
41,3,1
43,3,1
47,3,1
49,3,1
50,3,1
53,3,1
54,3,1
55,3,1
56,3,1
57,3,1
58,3,1
59,3,1
65,3,1
68,3,1
69,3,1
70,3,1
74,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
5,4,1
7,4,1
9,4,1
10,4,1
11,4,1
14,4,1
15,4,1
16,4,1
17,4,1
21,4,1
25,4,1
26,4,1
28,4,1
30,4,1
31,4,1
33,4,1
34,4,1
35,4,1
36,4,1
37,4,1
38,4,1
39,4,1
41,4,1
43,4,1
47,4,1
49,4,1
50,4,1
51,4,1
53,4,1
54,4,1
55,4,1
57,4,1
58,4,1
59,4,1
60,4,1
65,4,1
69,4,1
71,4,1
73,4,1
74,4,1
76,4,1
77,4,1
78,4,1
79,4,1
80,4,1
6,5,1
7,5,1
8,5,1
9,5,1
10,5,1
11,5,1
12,5,1
13,5,1
14,5,1
15,5,1
16,5,1
20,5,1
21,5,1
22,5,1
23,5,1
25,5,1
26,5,1
28,5,1
29,5,1
30,5,1
31,5,1
32,5,1
33,5,1
34,5,1
35,5,1
36,5,1
37,5,1
38,5,1
41,5,1
43,5,1
45,5,1
47,5,1
49,5,1
50,5,1
52,5,1
53,5,1
54,5,1
55,5,1
56,5,1
58,5,1
59,5,1
65,5,1
68,5,1
69,5,1
70,5,1
72,5,1
74,5,1
76,5,1
77,5,1
78,5,1
79,5,1
80,5,1
10,6,1
12,6,1
13,6,1
18,6,1
20,6,1
23,6,1
25,6,1
27,6,1
29,6,1
30,6,1
34,6,1
35,6,1
38,6,1
44,6,1
52,6,1
54,6,1
58,6,1
60,6,1
62,6,1
64,6,1
67,6,1
68,6,1
70,6,1
75,6,1
76,6,1
77,6,1
79,6,1
80,6,1
9,7,1
10,7,1
11,7,1
14,7,1
15,7,1
16,7,1
17,7,1
20,7,1
21,7,1
23,7,1
25,7,1
26,7,1
30,7,1
31,7,1
33,7,1
34,7,1
35,7,1
37,7,1
39,7,1
43,7,1
47,7,1
49,7,1
50,7,1
51,7,1
53,7,1
54,7,1
55,7,1
58,7,1
60,7,1
65,7,1
69,7,1
72,7,1
73,7,1
76,7,1
77,7,1
78,7,1
79,7,1
9,8,1
10,8,1
12,8,1
13,8,1
14,8,1
15,8,1
16,8,1
20,8,1
23,8,1
25,8,1
29,8,1
30,8,1
34,8,1
36,8,1
37,8,1
38,8,1
41,8,1
43,8,1
45,8,1
47,8,1
49,8,1
50,8,1
52,8,1
53,8,1
54,8,1
55,8,1
56,8,1
58,8,1
65,8,1
68,8,1
69,8,1
70,8,1
74,8,1
76,8,1
77,8,1
80,8,1
10,9,1
11,9,1
12,9,1
13,9,1
14,9,1
15,9,1
16,9,1
20,9,1
21,9,1
22,9,1
23,9,1
25,9,1
26,9,1
28,9,1
29,9,1
30,9,1
31,9,1
33,9,1
34,9,1
35,9,1
36,9,1
37,9,1
38,9,1
40,9,1
42,9,1
43,9,1
45,9,1
47,9,1
49,9,1
50,9,1
51,9,1
52,9,1
53,9,1
54,9,1
55,9,1
58,9,1
65,9,1
68,9,1
69,9,1
70,9,1
72,9,1
73,9,1
74,9,1
76,9,1
77,9,1
78,9,1
79,9,1
80,9,1
11,10,1
12,10,1
13,10,1
14,10,1
15,10,1
16,10,1
20,10,1
21,10,1
22,10,1
23,10,1
25,10,1
26,10,1
28,10,1
29,10,1
30,10,1
31,10,1
32,10,1
33,10,1
34,10,1
35,10,1
36,10,1
37,10,1
38,10,1
40,10,1
42,10,1
43,10,1
45,10,1
47,10,1
49,10,1
50,10,1
51,10,1
52,10,1
53,10,1
54,10,1
55,10,1
58,10,1
59,10,1
65,10,1
68,10,1
69,10,1
70,10,1
72,10,1
74,10,1
75,10,1
76,10,1
77,10,1
78,10,1
79,10,1
80,10,1
12,11,1
13,11,1
15,11,1
16,11,1
25,11,1
28,11,1
29,11,1
30,11,1
31,11,1
32,11,1
34,11,1
37,11,1
38,11,1
41,11,1
47,11,1
49,11,1
50,11,1
53,11,1
54,11,1
55,11,1
56,11,1
57,11,1
58,11,1
59,11,1
65,11,1
69,11,1
70,11,1
74,11,1
76,11,1
77,11,1
78,11,1
80,11,1
13,12,1
14,12,1
15,12,1
16,12,1
20,12,1
21,12,1
22,12,1
23,12,1
25,12,1
26,12,1
27,12,1
28,12,1
29,12,1
30,12,1
32,12,1
34,12,1
35,12,1
36,12,1
