RefSeqGeneName	TadaGeneName	ExomeMutRate	dnLoF	caseLoF	ctrlLoF	transLoF	ntransLoF	dnMis3	caseMis3	ctrlMis3	transMis3	ntransMis3	SmallDelMutRate	dnSmallDel	tadaFdrAscSscExomeSscAgpSmallDel	65genes_tadaFdrAscSscExomeSscAgpSmallDel	tadaFdrAscSscExome	59genes_tadaFdrAscSscExome	tadaFdrAscExome	tadaFdrSscExome													
CHD8	CHD8	9.25E-05	7	4	0	0	0	2	7	29	4	2	2.77E-07	0	3.06E-10	SSC_2hit	2.80E-10	SSC_ASC	0.0000108	2.31497E-08													
SCN2A	SCN2A	7.40E-05	4	2	0	0	0	7	4	26	5	5	4.60E-07	0	3.57E-10	SSC_2hit	3.17E-10	SSC_ASC	9.81E-09	0.000534822													
ARID1B	ARID1B	9.02E-05	5	0	0	0	0	1	5	35	5	8	1.20E-06	2	1.54E-07	SSC_2hit	3.05E-06	SSC_ASC	0.0000322	0.056411734													
NRXN1	NRXN1	7.40E-05	1	1	2	0	1	1	6	38	6	7	4.69E-06	7	2.31E-07	SSC_TADA_CNV	0.342556008	0	0.228162086	0.481435284													
SYNGAP1	SYNGAP1	6.55E-05	5	0	0	0	0	1	3	6	4	2	2.30E-07	1	3.73E-07	ASC_only	1.50E-06	ASC	6.63E-08	0.159416638													
DYRK1A	DYRK1A	3.12E-05	5	0	0	0	0	0	2	8	0	6	4.69E-07	0	1.99E-06	SSC_2hit	4.19E-06	SSC_ASC	0.000101177	0.001545951													
CHD2	CHD2	7.02E-05	3	1	0	0	0	1	7	8	5	3	3.60E-07	1	6.74E-06	SSC_2hit	0.000267208	SSC	0.645272369	0.002632154													
ANK2	ANK2	0.00014923	4	3	4	2	0	2	24	89	21	17	1.69E-06	0	1.35E-05	SSC_2hit	9.49E-06	SSC_ASC	0.0000632	0.004382551													
KDM5B	KDM5B	6.13E-05	3	1	7	3	1	3	9	17	8	11	3.17E-07	0	2.29E-05	SSC_2hit	2.08E-05	SSC	0.212281248	0.001158908													
ADNP	ADNP	3.92E-05	4	1	0	0	0	0	3	2	0	0	2.47E-07	0	3.25E-05	SSC_2hit	3.20E-05	SSC_ASC	0.000424513	0.030338164													
POGZ	POGZ	5.66E-05	3	4	0	0	0	1	5	24	6	7	2.50E-07	0	4.68E-05	SSC_2hit	4.79E-05	SSC_ASC	0.001506652	0.008022816													
SUV420H1	SUV420H1	3.48E-05	3	0	0	0	0	2	1	5	0	1	2.89E-07	0	6.30E-05	SSC_TADA	6.52E-05	SSC_ASC	0.0000851	0.016772936													
SHANK2	SHANK2	7.02E-05	1	0	0	0	0	0	7	28	8	4	1.93E-06	3	0.000102168	Combined_TADA_CNV	0.598852413	0	0.55587196	1													
TBR1	TBR1	3.55E-05	2	0	0	0	1	3	2	5	1	3	2.00E-07	0	0.000153711	SSC_2hit	0.000199744	SSC_ASC	0.000708878	0.00585465													
GRIN2B	GRIN2B	7.30E-05	3	3	1	0	0	1	3	10	0	5	1.11E-06	0	0.000202788	SSC_2hit	0.000151891	SSC_ASC	0.000257817	0.000826757													
DSCAM	DSCAM	0.0001015	4	1	1	0	0	0	9	39	13	14	3.20E-06	0	0.000280218	SSC_2hit	0.000108344	SSC	0.494294422	0.002158931													
KMT2C	MLL3	0.000173773	2	0	0	0	0	2	17	82	14	17	8.87E-07	1	0.000479271	ASC_only	0.03045279	ASC	0.036173346	1													
PTEN	PTEN	1.40E-05	1	1	0	0	0	3	1	4	0	0	3.98E-07	0	0.000710647	SSC_TADA	0.000523002	SSC_ASC	0.040054598	0.040854918													
SHANK3	SHANK3	5.78E-05	1	1	0	1	1	0	5	19	3	3	2.51E-07	2	0.000985528	Combined_TADA_CNV	0.359511556	0	0.290572587	0.942928993													
TCF7L2	TCF7L2	2.64E-05	2	0	2	1	0	0	4	9	5	2	5.52E-07	1	0.001328847	SSC_2hit	0.024488535	SSC	0.904623651	0.014703099													
TRIP12	TRIP12	7.38E-05	1	1	1	0	0	2	7	25	9	6	5.18E-07	1	0.001942015	SSC_TADA	0.047960114	SSC	0.423199604	0.05393084													
SETD5	SETD5	5.43E-05	1	1	1	0	0	1	13	29	17	12	3.20E-07	1	0.002504609	ASC_only	0.153356787	0	0.088145719	0.743964537													
TNRC6B	TNRC6B	6.65E-05	2	0	0	0	0	0	9	40	9	5	8.33E-07	1	0.003223538	SSC_2hit	0.064133619	SSC	0.946806894	0.042943304													
ASH1L	ASH1L	0.0001066	3	1	3	0	0	0	11	36	8	10	7.07E-07	0	0.004253079	ASC_only	0.001899082	ASC	0.062574471	0.441628413													
CUL3	CUL3	2.98E-05	2	2	0	0	0	0	3	4	1	0	4.10E-07	0	0.005262091	ASC_only	0.003318598	ASC	0.003066592	0.425963409													
KATNAL2	KATNAL2	2.00E-05	2	3	4	1	0	0	6	22	1	2	3.68E-07	0	0.0063798	SSC_2hit	0.00484049	SSC_ASC	0.004823929	0.010002578													
WAC	WAC	2.42E-05	2	1	0	0	0	0	6	9	2	2	3.51E-07	0	0.007709153	SSC_2hit	0.006588482	SSC	0.844611136	0.023656384													
NCKAP1	NCKAP1	3.98E-05	2	0	0	1	0	0	1	8	0	1	4.07E-07	0	0.009496133	SSC_2hit	0.010470265	SSC	0.282319754	0.03437281													
RANBP17	RANBP17	3.83E-05	2	2	9	6	1	0	8	25	8	9	1.28E-06	0	0.011356048	Combined_TADA	0.008432829	SSC	0.235395515	0.938738859													
KDM6B	KDM6B	8.27E-05	2	0	0	0	0	1	9	28	10	12	2.01E-07	0	0.01330646	SSC_2hit	0.017090948	SSC	0.297067798	0.045829125													
ILF2	ILF2	1.43E-05	2	0	0	0	0	0	0	1	0	0	1.90E-07	0	0.015147348	Combined_TADA	0.019070779	SSC	0.427076054	0.3511996													
